sc,LocId,component,net_present_kwh,npc_usd,component_lcoc_usd_per_kwh
0,stn_47_Lehi,flatDmd,7928874.744529015,248549.1942161873,0.03134734779202915
0,stn_47_Lehi,grid upgrades,7928874.744529015,69661.25417335687,0.008785768021045314
0,stn_47_Lehi,infrastructure,7928874.744529015,417967.5250401412,0.05271460812627189
0,stn_47_Lehi,timevarDmd,7928874.744529015,124246.89343999873,0.015670179873345843
0,stn_52_Plain_City,energy,1759489.4355400542,53778.79459728129,0.030564999999999735
0,stn_52_Plain_City,flatDmd,1759489.4355400542,28083.14570607905,0.015960962958245478
0,stn_52_Plain_City,grid upgrades,1759489.4355400542,3621.4124394255246,0.0020582177797015162
0,stn_52_Plain_City,infrastructure,1759489.4355400542,47225.4313401716,0.026840417672457532
0,stn_53_Holladay,energy,2757296.781824801,84276.77613647543,0.030565000000000137
0,stn_53_Holladay,flatDmd,2757296.781824801,48447.64736373772,0.017570704641984413
0,stn_53_Holladay,infrastructure,2757296.781824801,81470.96725256726,0.029547405919303733
0,stn_61_Saratoga_Springs,energy,14702607.819731252,449385.20801007445,0.03056499999999923
0,stn_61_Saratoga_Springs,flatDmd,14702607.819731252,174591.91128415972,0.011874894129315835
0,stn_61_Saratoga_Springs,grid upgrades,14702607.819731252,42156.781621704526,0.002867299606885325
0,stn_61_Saratoga_Springs,infrastructure,14702607.819731252,293598.81564530765,0.019969165963285167
0,stn_62_Salem,energy,5927734.435220818,181181.20301252487,0.030565000000000096
0,stn_62_Salem,flatDmd,5927734.435220818,70521.33074248508,0.011896843813290372
0,stn_62_Salem,grid upgrades,5927734.435220818,19765.118776537456,0.0033343461979502753
0,stn_62_Salem,infrastructure,5927734.435220818,118590.71265922472,0.02000607718770165
0,stn_6_Bluffdale,energy,125983.14760549318,3850.6749065618537,0.030564999999999638
0,stn_6_Bluffdale,flatDmd,125983.14760549318,2955.463120954577,0.023459194163090676
0,stn_6_Bluffdale,infrastructure,125983.14760549318,4969.992398922633,0.03944966047749333
0,stn_88_Orem,energy,34776142.95021002,1243286.7676912865,0.03575114035709294
0,stn_88_Orem,flatDmd,34776142.95021002,1194842.5136609422,0.03435810910288791
0,stn_88_Orem,grid upgrades,34776142.95021002,241468.9817883669,0.006943523959344336
0,stn_88_Orem,infrastructure,34776142.95021002,2009281.7835217917,0.05777759156323163
0,stn_88_Orem,timevarDmd,34776142.95021002,469635.71583480947,0.013504537191119789
0,stn_8_Herriman,energy,16893890.890947808,516361.77508182015,0.030565000000000023
0,stn_8_Herriman,flatDmd,16893890.890947808,173316.2172777069,0.010259105992603178
0,stn_8_Herriman,grid upgrades,16893890.890947808,31435.97437968601,0.0018607894760661815
0,stn_8_Herriman,infrastructure,16893890.890947808,291453.5716493771,0.017252009825962925
0,stn_93_American_Fork,energy,22981203.417206794,702420.4824469348,0.030565000000000397
0,stn_93_American_Fork,flatDmd,22981203.417206794,536307.7678701817,0.023336800868688633
0,stn_93_American_Fork,grid upgrades,22981203.417206794,123044.20103169818,0.005354123489441413
0,stn_93_American_Fork,infrastructure,22981203.417206794,901870.6783717407,0.03924384036810188
0,stn_94_Mapleton,energy,788307.1649586594,24094.60849696131,0.030564999999999856
